sample_size,seed,method,requested_coverage,answered,total,actual_coverage,selective_accuracy,risk,wrong_answered,correct_answered,abstained,correct_abstained,incorrect_abstained
200,17,Confidence only,0.1,20,200,0.1,0.75,0.25,5,15,180,78,102
200,17,Confidence only,0.2,40,200,0.2,0.8,0.2,8,32,160,61,99
200,17,Confidence only,0.3,60,200,0.3,0.8333333333333334,0.16666666666666666,10,50,140,43,97
200,17,Confidence only,0.4,80,200,0.4,0.825,0.175,14,66,120,27,93
200,17,Confidence only,0.5,100,200,0.5,0.81,0.19,19,81,100,12,88
200,17,Confidence only,0.6,120,200,0.6,0.7166666666666667,0.2833333333333333,34,86,80,7,73
200,17,Confidence only,0.7,140,200,0.7,0.6357142857142857,0.36428571428571427,51,89,60,4,56
200,17,Confidence only,0.8,160,200,0.8,0.58125,0.41875,67,93,40,0,40
200,17,Confidence only,0.9,180,200,0.9,0.5166666666666667,0.48333333333333334,87,93,20,0,20
200,17,Confidence only,1.0,200,200,1.0,0.465,0.535,107,93,0,0,0
200,17,Question-aware semantic V2,0.1,20,200,0.1,0.65,0.35,7,13,180,80,100
200,17,Question-aware semantic V2,0.2,40,200,0.2,0.625,0.375,15,25,160,68,92
200,17,Question-aware semantic V2,0.3,60,200,0.3,0.65,0.35,21,39,140,54,86
200,17,Question-aware semantic V2,0.4,80,200,0.4,0.6375,0.3625,29,51,120,42,78
200,17,Question-aware semantic V2,0.5,100,200,0.5,0.61,0.39,39,61,100,32,68
200,17,Question-aware semantic V2,0.6,120,200,0.6,0.5916666666666667,0.4083333333333333,49,71,80,22,58
200,17,Question-aware semantic V2,0.7,140,200,0.7,0.5285714285714286,0.4714285714285714,66,74,60,19,41
200,17,Question-aware semantic V2,0.8,160,200,0.8,0.49375,0.50625,81,79,40,14,26
200,17,Question-aware semantic V2,0.9,180,200,0.9,0.4666666666666667,0.5333333333333333,96,84,20,9,11
200,17,Question-aware semantic V2,1.0,200,200,1.0,0.465,0.535,107,93,0,0,0
200,17,Confidence + question-aware semantic V2,0.1,20,200,0.1,0.75,0.25,5,15,180,78,102
200,17,Confidence + question-aware semantic V2,0.2,40,200,0.2,0.775,0.225,9,31,160,62,98
200,17,Confidence + question-aware semantic V2,0.3,60,200,0.3,0.8166666666666667,0.18333333333333332,11,49,140,44,96
200,17,Confidence + question-aware semantic V2,0.4,80,200,0.4,0.7625,0.2375,19,61,120,32,88
200,17,Confidence + question-aware semantic V2,0.5,100,200,0.5,0.69,0.31,31,69,100,24,76
200,17,Confidence + question-aware semantic V2,0.6,120,200,0.6,0.6166666666666667,0.38333333333333336,46,74,80,19,61
200,17,Confidence + question-aware semantic V2,0.7,140,200,0.7,0.55,0.45,63,77,60,16,44
200,17,Confidence + question-aware semantic V2,0.8,160,200,0.8,0.50625,0.49375,79,81,40,12,28
200,17,Confidence + question-aware semantic V2,0.9,180,200,0.9,0.4666666666666667,0.5333333333333333,96,84,20,9,11
200,17,Confidence + question-aware semantic V2,1.0,200,200,1.0,0.465,0.535,107,93,0,0,0
200,17,Self-verifier only,0.1,20,200,0.1,0.65,0.35,7,13,180,80,100
200,17,Self-verifier only,0.2,40,200,0.2,0.675,0.325,13,27,160,66,94
200,17,Self-verifier only,0.3,60,200,0.3,0.6166666666666667,0.38333333333333336,23,37,140,56,84
200,17,Self-verifier only,0.4,80,200,0.4,0.6375,0.3625,29,51,120,42,78
200,17,Self-verifier only,0.5,100,200,0.5,0.57,0.43,43,57,100,36,64
200,17,Self-verifier only,0.6,120,200,0.6,0.575,0.425,51,69,80,24,56
200,17,Self-verifier only,0.7,140,200,0.7,0.5642857142857143,0.4357142857142857,61,79,60,14,46
200,17,Self-verifier only,0.8,160,200,0.8,0.5375,0.4625,74,86,40,7,33
200,17,Self-verifier only,0.9,180,200,0.9,0.5055555555555555,0.49444444444444446,89,91,20,2,18
200,17,Self-verifier only,1.0,200,200,1.0,0.465,0.535,107,93,0,0,0
200,17,Confidence + self-verifier,0.1,20,200,0.1,0.85,0.15,3,17,180,76,104
200,17,Confidence + self-verifier,0.2,40,200,0.2,0.825,0.175,7,33,160,60,100
200,17,Confidence + self-verifier,0.3,60,200,0.3,0.8,0.2,12,48,140,45,95
200,17,Confidence + self-verifier,0.4,80,200,0.4,0.8125,0.1875,15,65,120,28,92
200,17,Confidence + self-verifier,0.5,100,200,0.5,0.79,0.21,21,79,100,14,86
200,17,Confidence + self-verifier,0.6,120,200,0.6,0.7,0.3,36,84,80,9,71
200,17,Confidence + self-verifier,0.7,140,200,0.7,0.6285714285714286,0.37142857142857144,52,88,60,5,55
200,17,Confidence + self-verifier,0.8,160,200,0.8,0.56875,0.43125,69,91,40,2,38
200,17,Confidence + self-verifier,0.9,180,200,0.9,0.5166666666666667,0.48333333333333334,87,93,20,0,20
200,17,Confidence + self-verifier,1.0,200,200,1.0,0.465,0.535,107,93,0,0,0
500,17,Confidence only,0.1,50,500,0.1,0.86,0.14,7,43,450,184,266
500,17,Confidence only,0.2,100,500,0.2,0.83,0.17,17,83,400,144,256
500,17,Confidence only,0.3,150,500,0.3,0.86,0.14,21,129,350,98,252
500,17,Confidence only,0.4,200,500,0.4,0.845,0.155,31,169,300,58,242
500,17,Confidence only,0.5,250,500,0.5,0.788,0.212,53,197,250,30,220
500,17,Confidence only,0.6,300,500,0.6,0.7133333333333334,0.2866666666666667,86,214,200,13,187
500,17,Confidence only,0.7,350,500,0.7,0.6342857142857142,0.3657142857142857,128,222,150,5,145
500,17,Confidence only,0.8,400,500,0.8,0.565,0.435,174,226,100,1,99
500,17,Confidence only,0.9,450,500,0.9,0.5022222222222222,0.49777777777777776,224,226,50,1,49
500,17,Confidence only,1.0,500,500,1.0,0.454,0.546,273,227,0,0,0
500,17,Question-aware semantic V2,0.1,50,500,0.1,0.8,0.2,10,40,450,187,263
500,17,Question-aware semantic V2,0.2,100,500,0.2,0.75,0.25,25,75,400,152,248
500,17,Question-aware semantic V2,0.3,150,500,0.3,0.7333333333333333,0.26666666666666666,40,110,350,117,233
500,17,Question-aware semantic V2,0.4,200,500,0.4,0.68,0.32,64,136,300,91,209
500,17,Question-aware semantic V2,0.5,250,500,0.5,0.644,0.356,89,161,250,66,184
500,17,Question-aware semantic V2,0.6,300,500,0.6,0.5833333333333334,0.4166666666666667,125,175,200,52,148
500,17,Question-aware semantic V2,0.7,350,500,0.7,0.5342857142857143,0.4657142857142857,163,187,150,40,110
500,17,Question-aware semantic V2,0.8,400,500,0.8,0.495,0.505,202,198,100,29,71
500,17,Question-aware semantic V2,0.9,450,500,0.9,0.4577777777777778,0.5422222222222223,244,206,50,21,29
500,17,Question-aware semantic V2,1.0,500,500,1.0,0.454,0.546,273,227,0,0,0
500,17,Confidence + question-aware semantic V2,0.1,50,500,0.1,0.86,0.14,7,43,450,184,266
500,17,Confidence + question-aware semantic V2,0.2,100,500,0.2,0.85,0.15,15,85,400,142,258
500,17,Confidence + question-aware semantic V2,0.3,150,500,0.3,0.8533333333333334,0.14666666666666667,22,128,350,99,251
500,17,Confidence + question-aware semantic V2,0.4,200,500,0.4,0.785,0.215,43,157,300,70,230
500,17,Confidence + question-aware semantic V2,0.5,250,500,0.5,0.688,0.312,78,172,250,55,195
500,17,Confidence + question-aware semantic V2,0.6,300,500,0.6,0.62,0.38,114,186,200,41,159
500,17,Confidence + question-aware semantic V2,0.7,350,500,0.7,0.5514285714285714,0.44857142857142857,157,193,150,34,116
500,17,Confidence + question-aware semantic V2,0.8,400,500,0.8,0.505,0.495,198,202,100,25,75
500,17,Confidence + question-aware semantic V2,0.9,450,500,0.9,0.4577777777777778,0.5422222222222223,244,206,50,21,29
500,17,Confidence + question-aware semantic V2,1.0,500,500,1.0,0.454,0.546,273,227,0,0,0
500,17,Self-verifier only,0.1,50,500,0.1,0.68,0.32,16,34,450,193,257
500,17,Self-verifier only,0.2,100,500,0.2,0.7,0.3,30,70,400,157,243
500,17,Self-verifier only,0.3,150,500,0.3,0.6466666666666666,0.35333333333333333,53,97,350,130,220
500,17,Self-verifier only,0.4,200,500,0.4,0.625,0.375,75,125,300,102,198
500,17,Self-verifier only,0.5,250,500,0.5,0.596,0.404,101,149,250,78,172
500,17,Self-verifier only,0.6,300,500,0.6,0.58,0.42,126,174,200,53,147
500,17,Self-verifier only,0.7,350,500,0.7,0.5457142857142857,0.4542857142857143,159,191,150,36,114
500,17,Self-verifier only,0.8,400,500,0.8,0.5225,0.4775,191,209,100,18,82
